movieId,Title,Genre,Director
112852,Guardians of the Galaxy,Action,James Gunn
94864,Prometheus,Adventure,Ridley Scott
166534,Split,Horror,M. Night Shyamalan
155923,Sing,Animation,Christophe Lourdelet
135536,Suicide Squad,Action,David Ayer
166918,The Great Wall,Action,Yimou Zhang
164909,La La Land,Comedy,Damien Chazelle
171881,Mindhorn,Comedy,Sean Foley
169900,The Lost City of Z,Action,James Gray
65567,Passengers,Adventure,Morten Tyldum
135143,Fantastic Beasts and Where to Find Them,Adventure,David Yates
166643,Hidden Figures,Biography,Theodore Melfi
73141,Moana,Animation,Ron Clements
164821,Colossal,Action,Nacho Vigalondo
135436,The Secret Life of Pets,Animation,Chris Renaud
163645,Hacksaw Ridge,Biography,Mel Gibson
160438,Jason Bourne,Action,Paul Greengrass
165551,Lion,Biography,Garth Davis
164179,Arrival,Drama,Denis Villeneuve
77896,Gold,Adventure,Stephen Gaghan
165549,Manchester by the Sea,Drama,Kenneth Lonergan
171925,Hounds of Love,Crime,Ben Young
165141,Trolls,Animation,Walt Dohrn
135567,Independence Day: Resurgence,Action,Roland Emmerich
58661,Dead Awake,Horror,Phillip Guzman
161580,Bad Moms,Comedy,Jon Lucas
167370,Assassin's Creed,Action,Justin Kurzel
167018,Why Him?,Comedy,John Hamburg
149334,Nocturnal Animals,Drama,Tom Ford
122924,X-Men: Apocalypse,Action,Bryan Singer
122904,Deadpool,Action,Tim Miller
168498,Resident Evil: The Final Chapter,Action,Paul W.S. Anderson
122920,Captain America: Civil War,Action,Anthony Russo
109487,Interstellar,Adventure,Christopher Nolan
115927,Doctor Strange,Action,Scott Derrickson
162350,The Magnificent Seven,Action,Antoine Fuqua
158872,Sausage Party,Animation,Greg Tiernan
162414,Moonlight,Drama,Barry Jenkins
166946,The Founder,Biography,John Lee Hancock
171157,Lowriders,Drama,Ricardo de Montreuil
86880,Pirates of the Caribbean: On Stranger Tides,Action,Rob Marshall
166568,Miss Sloane,Drama,John Madden
1754,Fallen,Adventure,Scott Hicks
135569,Star Trek Beyond,Action,Justin Lin
177469,The Last Face,Drama,Sean Penn
122886,Star Wars: Episode VII - The Force Awakens,Action,J.J. Abrams
166558,Underworld: Blood Wars,Action,Anna Foerster
5206,Mother's Day,Comedy,Garry Marshall
115149,John Wick,Action,Chad Stahelski
130219,The Dark Knight,Action,Christopher Nolan
143367,Silence,Adventure,Martin Scorsese
161634,Don't Breathe,Crime,Fede Alvarez
152017,Me Before You,Drama,Thea Sharrock
169756,Their Finest,Comedy,Lone Scherfig
160980,Sully,Biography,Clint Eastwood
136864,Batman v Superman: Dawn of Justice,Action,Zack Snyder
165603,The Autopsy of Jane Doe,Horror,André Øvredal
162602,The Girl on the Train,Crime,Tate Taylor
125916,Fifty Shades of Grey,Drama,Sam Taylor-Johnson
119145,Kingsman: The Secret Service,Action,Matthew Vaughn
167544,Patriots Day,Drama,Peter Berg
