ID,Label,Genre,Director
1,Guardians of the Galaxy,Action,James Gunn
2,Prometheus,Adventure,Ridley Scott
3,Split,Horror,M. Night Shyamalan
4,Sing,Animation,Christophe Lourdelet
5,Suicide Squad,Action,David Ayer
6,The Great Wall,Action,Yimou Zhang
7,La La Land,Comedy,Damien Chazelle
8,Mindhorn,Comedy,Sean Foley
9,The Lost City of Z,Action,James Gray
10,Passengers,Adventure,Morten Tyldum
11,Fantastic Beasts and Where to Find Them,Adventure,David Yates
12,Hidden Figures,Biography,Theodore Melfi
13,Moana,Animation,Ron Clements
14,Colossal,Action,Nacho Vigalondo
15,The Secret Life of Pets,Animation,Chris Renaud
16,Hacksaw Ridge,Biography,Mel Gibson
17,Jason Bourne,Action,Paul Greengrass
18,Lion,Biography,Garth Davis
19,Arrival,Drama,Denis Villeneuve
20,Gold,Adventure,Stephen Gaghan
21,Manchester by the Sea,Drama,Kenneth Lonergan
22,Hounds of Love,Crime,Ben Young
23,Trolls,Animation,Walt Dohrn
24,Independence Day: Resurgence,Action,Roland Emmerich
25,Dead Awake,Horror,Phillip Guzman
26,Bad Moms,Comedy,Jon Lucas
27,Assassin's Creed,Action,Justin Kurzel
28,Why Him?,Comedy,John Hamburg
29,Nocturnal Animals,Drama,Tom Ford
30,X-Men: Apocalypse,Action,Bryan Singer
31,Deadpool,Action,Tim Miller
32,Resident Evil: The Final Chapter,Action,Paul W.S. Anderson
33,Captain America: Civil War,Action,Anthony Russo
34,Interstellar,Adventure,Christopher Nolan
35,Doctor Strange,Action,Scott Derrickson
36,The Magnificent Seven,Action,Antoine Fuqua
37,Sausage Party,Animation,Greg Tiernan
38,Moonlight,Drama,Barry Jenkins
39,The Founder,Biography,John Lee Hancock
40,Lowriders,Drama,Ricardo de Montreuil
41,Pirates of the Caribbean: On Stranger Tides,Action,Rob Marshall
42,Miss Sloane,Drama,John Madden
43,Fallen,Adventure,Scott Hicks
44,Star Trek Beyond,Action,Justin Lin
45,The Last Face,Drama,Sean Penn
46,Star Wars: Episode VII - The Force Awakens,Action,J.J. Abrams
47,Underworld: Blood Wars,Action,Anna Foerster
48,Mother's Day,Comedy,Garry Marshall
49,John Wick,Action,Chad Stahelski
50,The Dark Knight,Action,Christopher Nolan
51,Silence,Adventure,Martin Scorsese
52,Don't Breathe,Crime,Fede Alvarez
53,Me Before You,Drama,Thea Sharrock
54,Their Finest,Comedy,Lone Scherfig
55,Sully,Biography,Clint Eastwood
56,Batman v Superman: Dawn of Justice,Action,Zack Snyder
57,The Autopsy of Jane Doe,Horror,André Øvredal
58,The Girl on the Train,Crime,Tate Taylor
59,Fifty Shades of Grey,Drama,Sam Taylor-Johnson
60,Kingsman: The Secret Service,Action,Matthew Vaughn
61,Patriots Day,Drama,Peter Berg
62,Mad Max: Fury Road,Action,George Miller
63,Wakefield,Drama,Robin Swicord
64,Deepwater Horizon,Action,Peter Berg
65,The Promise,Drama,Terry George
66,Allied,Action,Robert Zemeckis
67,A Monster Calls,Drama,J.A. Bayona
68,Collateral Beauty,Drama,David Frankel
69,Zootopia,Animation,Byron Howard
70,Pirates of the Caribbean: At World's End,Action,Gore Verbinski
71,Inglourious Basterds,Adventure,Quentin Tarantino
72,Pirates of the Caribbean: Dead Man's Chest,Action,Gore Verbinski
73,Ghostbusters,Action,Paul Feig
74,Inception,Action,Christopher Nolan
75,Captain Fantastic,Comedy,Matt Ross
76,Gone Girl,Crime,David Fincher
77,Jurassic World,Action,Colin Trevorrow
78,Live by Night,Crime,Ben Affleck
79,Avatar,Action,James Cameron
80,The Hateful Eight,Crime,Quentin Tarantino
81,The Accountant,Action,Gavin O'Connor
82,Prisoners,Crime,Denis Villeneuve
83,Warcraft,Action,Duncan Jones
84,War Dogs,Comedy,Todd Phillips
85,Avengers: Age of Ultron,Action,Joss Whedon
86,The Nice Guys,Action,Shane Black
87,The Void,Horror,Jeremy Gillespie
88,Personal Shopper,Drama,Olivier Assayas
89,Legend,Biography,Brian Helgeland
90,Thor,Action,Kenneth Branagh
91,The Martian,Adventure,Ridley Scott
92,The Man from U.N.C.L.E.,Action,Guy Ritchie
93,Hell or High Water,Crime,David Mackenzie
94,The Comedian,Comedy,Taylor Hackford
95,The Legend of Tarzan,Action,David Yates
96,All We Had,Drama,Katie Holmes
97,Ex Machina,Drama,Alex Garland
98,The Belko Experiment,Action,Greg McLean
99,12 Years a Slave,Biography,Steve McQueen
100,The Bad Batch,Romance,Ana Lily Amirpour
101,300,Action,Zack Snyder
102,Harry Potter and the Deathly Hallows: Part 2,Adventure,David Yates
103,Office Christmas Party,Comedy,Josh Gordon
104,The Neon Demon,Horror,Nicolas Winding Refn
105,Dangal,Action,Nitesh Tiwari
106,10 Cloverfield Lane,Drama,Dan Trachtenberg
107,Finding Dory,Animation,Andrew Stanton
108,Miss Peregrine's Home for Peculiar Children,Adventure,Tim Burton
109,Divergent,Adventure,Neil Burger
110,Boyka: Undisputed IV,Action,Todor Chapkanov
111,The Jungle Book,Adventure,Jon Favreau
112,Transformers: Age of Extinction,Action,Michael Bay
113,Nerve,Adventure,Henry Joost
114,Mamma Mia!,Comedy,Phyllida Lloyd
115,The Revenant,Adventure,Alejandro González Iñárritu
116,Fences,Drama,Denzel Washington
117,Into the Woods,Adventure,Rob Marshall
118,The Shallows,Drama,Jaume Collet-Serra
119,Whiplash,Drama,Damien Chazelle
120,No Country for Old Men,Crime,Ethan Coen
121,The Great Gatsby,Drama,Baz Luhrmann
122,Shutter Island,Mystery,Martin Scorsese
123,Brimstone,Mystery,Martin Koolhoven
124,Star Trek,Action,J.J. Abrams
125,Diary of a Wimpy Kid,Comedy,Thor Freudenthal
126,Room,Drama,Lenny Abrahamson
127,Django Unchained,Drama,Quentin Tarantino
128,The Edge of Seventeen,Comedy,Kelly Fremon Craig
129,Watchmen,Action,Zack Snyder
130,Superbad,Comedy,Greg Mottola
131,Inferno,Action,Ron Howard
132,The BFG,Adventure,Steven Spielberg
133,The Hunger Games,Adventure,Gary Ross
134,White Girl,Drama,Elizabeth Wood
135,Sicario,Action,Denis Villeneuve
136,Twin Peaks: The Missing Pieces,Drama,David Lynch
137,Pacific Rim,Action,Guillermo del Toro
138,Crazy,Comedy,Glenn Ficarra
139,Scott Pilgrim vs. the World,Action,Edgar Wright
140,Hot Fuzz,Action,Edgar Wright
141,Mine,Thriller,Fabio Guaglione
142,Free Fire,Action,Ben Wheatley
143,X-Men: Days of Future Past,Action,Bryan Singer
144,Jack Reacher: Never Go Back,Action,Edward Zwick
145,Casino Royale,Action,Martin Campbell
146,Twilight,Drama,Catherine Hardwicke
147,Now You See Me 2,Action,Jon M. Chu
148,Woman in Gold,Biography,Simon Curtis
149,13 Hours,Action,Michael Bay
150,Spectre,Action,Sam Mendes
151,Nightcrawler,Crime,Dan Gilroy
152,Kubo and the Two Strings,Animation,Travis Knight
153,Beyond the Gates,Adventure,Jackson Stewart
154,Her,Drama,Spike Jonze
155,Frozen,Animation,Chris Buck
156,Tomorrowland,Action,Brad Bird
157,Dawn of the Planet of the Apes,Action,Matt Reeves
158,Tropic Thunder,Action,Ben Stiller
159,The Conjuring 2,Horror,James Wan
160,Ant-Man,Action,Peyton Reed
161,Bridget Jones's Baby,Comedy,Sharon Maguire
162,Cinderella,Drama,Kenneth Branagh
163,Realive,Sci-Fi,Mateo Gil
164,Love,Drama,Gaspar Noé
165,Billy Lynn's Long Halftime Walk,Drama,Ang Lee
166,Crimson Peak,Drama,Guillermo del Toro
167,Drive,Crime,Nicolas Winding Refn
168,Trainwreck,Comedy,Judd Apatow
169,The Light Between Oceans,Drama,Derek Cianfrance
170,Below Her Mouth,Drama,April Mullen
171,Spotlight,Crime,Tom McCarthy
172,Morgan,Horror,Luke Scott
173,Warrior,Action,Gavin O'Connor
174,Captain America: The First Avenger,Action,Joe Johnston
175,Hacker,Crime,Akan Satayev
176,Into the Wild,Adventure,Sean Penn
177,The Imitation Game,Biography,Morten Tyldum
178,Central Intelligence,Action,Rawson Marshall Thurber
179,Edge of Tomorrow,Action,Doug Liman
180,A Cure for Wellness,Drama,Gore Verbinski
181,Snowden,Biography,Oliver Stone
182,Iron Man,Action,Jon Favreau
183,Paterson,Comedy,Jim Jarmusch
184,Bridesmaids,Comedy,Paul Feig
185,The Girl with All the Gifts,Drama,Colm McCarthy
186,San Andreas,Action,Brad Peyton
187,Spring Breakers,Drama,Harmony Korine
188,Transformers,Action,Michael Bay
189,Old Boy,Action,Spike Lee
